id|producto|costo|codigo de barras|catidad|costo de compra|marca|
103|gomilocas hamburguesas|10|757528029616|0|0|ricolino|
104|gomilocas ping�inos|10|757528029623|0|0|ricolino|
105|kranky|10|757528029630|0|0|ricolino|
106|moritas ricolino|10|757528029647|0|0|ricolino|
107|panditas clasicas|10|757528029654|0|0|ricolino|
108|panditas saboracido|10|757528029661|0|0|ricolino|
109|panditas rellenas|10|757528029678|0|0|ricolino|
110|panditas rojos|10|757528029685|0|0|ricolino|
111|bigmix clasico 70g|10|757528031022|0|0|barcel|
112|watz 35g|8|757528031336|0|0|barcel|
113|yumisa borfrutal|15|757528032630|0|0|gummy yummy|
114|yumi cubos|15|757528032678|0|0|gummy yummy|
115|yumi crowns|15|757528032913|0|0|gummy yummy|
116|yumi glows|15|757528032999|0|0|gummy yummy|
117|yumi hipersacidos|15|757528033033|0|0|gummy yummy|
118|yumitags jugodefruta|15|757528033071|0|0|gummy yummy|
119|hot nuts fuego 80g|12|757528033590|0|0|barcel|
120|bigmix jalape�o 70g|10|757528034856|0|0|barcel|
121|golden nuts limon y sal40g|12|757528035518|0|0||
122|golden nuts limon y sal|12|757528035525|0|0||
123|golden nuts enchilados 60g|12|757528035860|0|0||
124|hot nuts original 75g|10|757528035877|0|0||
125|chips a la diabla 46g|12|757528036447|0|0|barcel|
126|chips adobadas 46g|12|757528036454|0|0|barcel|
127|chips fuego 46g|12|757528036461|0|0|barcel|
128|chips jalape�o 46g|12|757528036478|0|0|barcel|
129|chips sal de mar 46g|12|757528036492|0|0|barcel|
130|valentones fuego 60g|10|757528036638|0|0||
131|bigmix queso 65g|10|757528038298|0|0||
132|bigmix fuego 65g|10|757528038618|0|0||
133|takis limbo 56g|10|757528038656|0|0|barcel|
134|chips a la diabla 45g|13|757528038748|0|0||
135|chips adobadas 45g|13|757528038755|0|0||
136|chips fuego 46g|13|757528038762|0|0||
137|runers 54g|8|757528039561|0|0||
138|toreadas chile/habane 38g|13|757528039578|0|0||
139|takis salsa brava 65g|11|757528039950|0|0||
140|takis original |11|757528039967|0|0||
141|takis fuego 65g|11|757528039974|0|0||
142|agua bonafont 1,5Lts|17|758104000159|0|0||
143|bonafont levite 1,5 limon|16|758104001460|0|0|bonafont|
144|bonafont agua 600ml|8|758104001712|0|0||
145|bonafont levite 600 coco|10|758104006519|0|0|bonafont|
146|bonafont levite 1 lt coco|13|758104006526|0|0|bonafont|
147|levite bonafont 1,5 pi�a coco|16|758104006533|0|0|bonafont|
148|bonafont levite 600 pepino limon |10|758104006618|0|0|bonafont|
149|bonafont levite limon-pepino 1lt|13|758104006625|0|0|bonafont|
150|agua bona pepino/limon 1ltr|13|758104006632|0|0||
151|bonafont levite 600 fresa|10|758104006649|0|0|bonafont|
152|agua fresa 1L|13|758104006656|0|0||
153|bonafont levite 1,5 fresa |16|758104006663|0|0|bonafont|
154|bonafont levite 1 lt limon|13|758104006724|0|0|bonafont|
155|agua levite limon 1,5 L|17|758104006731|0|0||
156|bonafont levite 600jamaica|10|758104006779|0|0|bonafont|
157|levite bonafont 1,5 jamaica|16|758104006793|0|0|bonafont|
158|levite balance 400ml|13|758104006816|0|0||
159|bonafont pi�a/coco 1L|13|758104007097|0|0||
160|bonafont simple 1LT|10|758104100422|0|0||
161|agua skarch 600ml |4|793573264091|0|0|skarch|
162|agua skarch 1,5l |7|793573264107|0|0|skarch|
163|red cola 3lts|23|793573950079|0|0|red-cola|
164|four loko ponche de frutas 473ml|35|849806001220|0|0|four loko|
165|four loko gold 473ml|35|849806001756|0|0|four loko|
166|four loko black 473ml|35|849806002005|0|0|four loko|
167|cepillodental|20|3014260846725|0|0||
168|stella artois lager 250ml|16|5410228240945|0|0||
169|skyblue manzana verde |20|6648040012900|0|0|sky|
170|foco chiyoda plus 100w|10|7404005961329|0|0|chiyoda|
171|totis churritos chile y lim�n 55g|6|7500366000513|0|0|la coste�a|
172|chicharrones totis chile/limon|6|7500366000582|0|0||
173|totis pap`s clasicas 170g|16|7500366000629|0|0|la coste�a|
174|totis pap`s adobadas 170g|16|7500366000643|0|0|la coste�a|
175|que totis queso/chedar120g|6|7500366000704|0|0||
176|totis donitas lim�n y sal 28g|6|7500366000711|0|0|la coste�a|
177|totis donitas chile y limon 28g|6|7500366000728|0|0|la coste�a|
178|que totis queso chedar 25g|6|7500366000742|0|0|la coste�a|
179|pap`s clasicas 40g|11|7500366000766|0|0||
180|pap`s adobadas|11|7500366000773|0|0||
181|toptop`s hot chili52g|7|7500366000797|0|0||
182|pap`s hot chili|11|7500366001282|0|0||
183|pap`s onduladas queso|11|7500366001350|0|0||
184|pap`s onduladas c/sal|11|7500366001381|0|0||
185|pap`s hot chili 40g|11|7500366001497|0|0||
186|pap`s original 70g|11|7500366001749|0|0||
187|pap`s adobadas|11|7500366001756|0|0||
188|pap`s habanero 40g|11|7500366001763|0|0||
189|toptop`s salsa negra 52g|7|7500366001824|0|0||
190|ace jabon 900g|28|7500435018791|0|0||
191|salvo jabon limon|22|7500435108256|0|0||
192|downy libre enjuague passion|27|7500435125987|0|0||
193|downy libre enjuague elegance|27|7500435126045|0|0||
194|ariel revita color|18|7500435139977|0|0||
195|rufles original 53g|12|7500478007950|0|0||
196|ruffles salsa roja 53g|12|7500478007967|0|0|sabritas|
197|ruffles jalape�o 50g|12|7500478007974|0|0|sabritas|
198|chokis 57g|10|7500478008926|0|0|gamesa|
199|sab poppers original 33g|10|7500478011995|0|0||
200|sab poppers limon/chile 33g|10|7500478012008|0|0||
201|churrumais flamas 55g|7|7500478012817|0|0|sabritas|
202|pan blanco 360gCh|23|7501000111091|0|19,09||
203|tortillinas tia rosa 10pzs 255g|13|7501000111251|0|0||
204|tortillinas tia rosa 20pzs|23|7501000111299|0|0||
205|pan integral 675gG|35|7501000111466|0|29,05||
206|medias noches|25|7501000111503|0|20,75||
207|pan tostado clasico|20|7501000111800|0|16,6||
208|pan molido clasico|15|7501000111855|0|0||
209|colchones naranja 130g|10|7501000112203|0|0||
210|panque c/pasas 255g|30|7501000112302|0|22,78||
211|pan tostado doble fibra|22|7501000112333|0|18,26||
212|panquesitos chispas/chocolate140g|15|7501000112388|0|11,34||
213|donitas espolvoreadas 105g|12|7501000112425|0|9.11||
214|nito 62g|10|7501000112784|0|7,59||
215|rebanadas|5|7501000112845|0|3,78||
216|bran frutpi�a 58g|8|7501000116430|0|0||
217|pan blanco 640gG|30|7501000122332|0|24,9||
218|principe 105g|13|7501000128167|0|10,11|marinela|
219|barritas pi�a 75g|10|7501000133031|0|7,78|marinelamarinela|
220|barritas fresa 75g|10|7501000133055|0|7,78|marinela|
221|pastisetas 75g|18|7501000133338|0|0|marinela|
222|sponch 120g|15|7501000138944|0|11,67|marinela|
223|triki-trakes 85g|10|7501000140855|0|7,69|marinela|
224|takis huakamoladas 56g|11|7501000148288|0|0||
225|empanizador crujiente|15|7501000149100|0|0||
226|gansito 50g|10|7501000153107|0|7,5|marinela|
227|submarinos vainilla 105g|12|7501000153282|0|9|marinela|
228|submarinos fresa 105g|12|7501000153374|0|9|marinela|
229|rocko grande 44g|5|7501000153763|0|0|---------|
230|pinguinos 80g|15|7501000153800|0|0|marinela|
231|submarinos chocolate 105g|12|7501000156214|0|9|marinela|
232|tostadas milpa real|25|7501000157075|0|0|milparreal|
233|takis original 56g|10|7501000164370|0|0|barcel|
234|takis salsa brava 56g|10|7501000166923|0|0|barcel|
235|golden nuts pepitas|11|7501000168200|0|0||
236|runners 58g|8|7501000222612|0|0|barcel|
237|barcel chipotles 52g|8|7501000264834|0|0|barcel|
238|tostachos 65g|8|7501000264841|0|0|barcel|
239|chips sal de mar 170g|35|7501000266203|0|0|barcel|
240|chips jalape�o 170g|35|7501000266234|0|0|barcel|
241|palet apayaso|10|7501000278404|0|0||
242|panque marmol 255g|30|7501000310647|0|22,78||
243|pan integral 370gCh|28|7501000336319|0|23,24||
244|toreadas 40g|10|7501000360604|0|0|barcel|
245|totopos "del hogar" 280gr|20|7501000364695|0|0|del hogar|
246|hot nuts original|11|7501000367481|0|0||
247|emperador chocolate 101g|12|7501000626489|0|0|marinela|
248|arcoiris 75g|13|7501000635726|0|0|marinela|
249|saladitas 137g|11|7501000658404|0|0||
250|saladitas 186g|13|7501000664221|0|0||
251|surtido rico gamesa 516gr|52|7501000677368|0|0|gamesa|
252|gerber verdura c/pollo/pst 113gr|11|7501000904235|0|0|nestle|
253|gerber verdura c/res/arroz 113gr|11|7501000904242|0|0|nestle|
254|gerber jugo de manzana 175gr|15|7501000922239|0|0|nestle|
255|gerber jugo de pera 175gr|15|7501000922246|0|0|nestle|
256|downy libre en juague aroma floral|27|7501001155841|0|0||
257|shampoo pantene|20|7501001170288|0|0||
258|jugo sazonador maggi 100ml|32|7501001604103|0|0|nestle|
259|trix 230g|26|7501001625214|0|0|nestle|
260|nesquik 230g|26|7501001625337|0|0|nestle|
261|mayonesa light mckorni 775g|37|7501003313560|0|0||
262|mermelada fresa mccormick 270g|25|7501003336125|0|0|mccormick|
263|atole maizena fresa 47gr|8|7501005106801|0|0|maizena|
264|atole maizena nuez 47gr|8|7501005107150|0|0|maizena|
265|caldo de pollo knor 370gr|38|7501005112222|0|0|knorr|
266|sazonador de tomate knor 200gr|34|7501005118217|0|0|knorr|
267|sopa knor fideos 95gr|11|7501005129923|0|0|knorr|
268|sopa knor fideo c/pollo 95gr|11|7501005129930|0|0|knorr|
269|sopa knor estrella 95gr|11|7501005129947|0|0|knorr|
270|sopa knor municion 95gr|11|7501005134002|0|0|knorr|
271|hunts salsa de tomate 360g|8|7501006523959|0|0||
272|palomitas act II natural 80gr|12|7501006559002|0|0|actii|
273|act2 mantequilla 80g|12|7501006559019|0|0||
274|palomitas act II queso jalap 80gr|12|7501006559316|0|0|actii|
275|ace jabon 250g|9|7501006705942|0|0||
276|crest|22|7501006733907|0|0||
277|surtido diario 500g|30|7501008754030|0|0||
278|sabritas 45g|12|7501011101456|0|0|sabritas|
279|sabritas sal 45g|12|7501011101463|0|0||
280|sabritas limon 45g|12|7501011101678|0|0||
281|fritos limon y sal 62g|9|7501011110335|0|0|sabritas|
282|rancheritos 60g|10|7501011111028|0|0||
283|fritos 62g|10|7501011112254|0|0||
284|ruffles queso 53g|12|7501011114524|0|0|sabritas|
285|doritos nacho 62g|11|7501011123588|0|0|sabritas|
286|doritos incognita 62g|11|7501011123878|0|0|sabritas|
287|doritos flamin hot 62g|11|7501011130272|0|0|sabritas|
288|cheetos torciditos 52g|8|7501011143586|0|0|sabritas|
289|sabritasflamin hot 45g|12|7501011143739|0|0|sabritas|
290|cheetos flamin hot|8|7501011143753|0|0|sabritas|
