id|producto|costo|codigo de barras|catidad|costo de compra|marca|
393|rebanadas chocolate|5|7501030469681|0|3,78||
394|principe limon 105g|13|7501030473824|0|0|marinela|
395|mini chocorrol 30g|5|7501030475224|0|0||
396|valentones 175g|22|7501030482055|0|0|marinela|
397|pan tostado integral|22|7501030491668|0|18,26||
398|pepsi 400ml|7|7501031302741|0|0|pepsi|
399|pepsi kick 500ml|12|7501031304493|0|0|pepsi|
400|sangria casera 3Lts|28|7501031305957|0|0||
401|jumex fresh citricos 600ml|11|7501031307210|0|0|jumex|
402|jumex fresh uva 600ml|11|7501031307227|0|0|jumex|
403|jumex fresh conga 600ml|11|7501031307241|0|0|jumex|
404|jumex fresh citricos 2lt|21|7501031307258|0|0|jumex|
405|jumex fresh uva 2lt|21|7501031307265|0|0|jumex|
406|jumex fresh conga 2lt|21|7501031307289|0|0|jumex|
407|jumex fresh citricos 3lt|27|7501031307296|0|0|jumex|
408|pepsi  600ml|12|7501031310012|0|0||
409|pepsi 3lt|28|7501031310098|0|0|pepsi|
410|pepsi lata 355ml|10|7501031311309|0|0|pepsi|
411|pepsi 1,5lt|16|7501031311682|0|0|pepsi|
412|7up 600ml|11|7501031322558|0|0|pepsi|
413|7up 3lt|27|7501031322589|0|0|pepsi|
414|7up lata 355ml|10|7501031323302|0|0|pepsi|
415|mirinda 600ml|11|7501031345052|0|0|pepsi|
416|mirinda 3lt|27|7501031345083|0|0|pepsi|
417|mirinda lata 355ml|10|7501031346301|0|0|pepsi|
418|manzanita sol 600ml|11|7501031360024|0|0|pepsi|
419|manzanita sol 3lt|27|7501031360048|0|0|pepsi|
420|manzanita sol lata 355ml|10|7501031360130|0|0|pepsi|
421|benegastro 240g|10|7501032397869|0|0|danone|
422|danup fresa 350g|12|7501032397906|0|0|danone|
423|danup pi�a coco 350g|12|7501032397968|0|0|danone|
424|activia ciruela pasa 225g|10|7501032398071|0|0|danone|
425|activia ciruela pasa 225g|10|7501032398255|0|0|danone|
426|danone toghurt durazno 220g|9|7501032398484|0|0|danone|
427|danone yogurt manzana 220g|9|7501032398491|0|0|danone|
428|danone yogurt fresa 220g|9|7501032398576|0|0|danone|
429|danup fresa 220g|9|7501032398583|0|0|danone|
430|caribe durazno 300ml|16|7501032485016|0|15,33|caribe|
431|caribe tinto 300ml|16|7501032485023|0|15,33|caribe|
432|caribe mango/pi�a  300ml|18|7501032485030|0|15,33||
433|caribe fresa 300ml|18|7501032485047|0|15,33|caribe|
434|caribe manzana kiwi 300ml|18|7501032485054|0|15,33|caribe|
435|caribe maracuya 300ml|18|7501032485061|0|15,33|caribe|
436|caribe arandano  300ml|18|7501032485238|0|15,33||
437|caribe limon  300ml|18|7501032485382|0|15,33||
438|aceite nutrioli 850ml|32|7501039121610|0|0|caribe|
439|atun dolores 133g|14|7501045403908|0|0||
440|la sierra frijoles b/ negros 430gr|12|7501052420165|0|0|la sierra|
441|la sierra frijoles refritos 430gr|12|7501052420172|0|0|la sierra|
442|frijo/bayos sierra refritos/chip 440g|14|7501052420240|0|0||
443|la sierra frijoles refritos lata 580gr|14|7501052420431|0|0|la sierra|
444|frijoles/bayos refritos color 400g|12|7501052421186|0|0||
445|la sierra frijoles peruanos 430gr|12|7501052421254|0|0|la sierra|
446|frijoles la sierra bayos lata 440gr|12|7501052424033|0|0|la sierra|
447|frijoles/enteros bayos 560g|16|7501052424613|0|0||
448|la sierra frijoles charros lata310gr|17|7501052424620|0|0|la sierra|
449|ensalada de verduras 410gr|11|7501052471075|0|0|clemente|
450|mermelada fresa 270gr|26|7501052474069|0|0|clemente|
